spp,act,pass,float,obsn,obst1,n3,seq
45435,45163,45401,0,1,339157,95,$=?>$$BUBO^B>C$=N?>$$BLUBO%}^OB$=?>$$CUCO^B>C$=N?>$$BLUBO%}Y^OB
45434,8625,45365,0,1,339155,64,$=?>$$BUBO$?>$$NK>$$BLUBO%}}Y^O
45433,12591,19311,0,1,339154,57,$=?>$$BUBO$=?>$$BUBO$=?>$$BUBO$=?>$$N?>$$B
45432,34917,11955,0,1,339116,1,$U?>C$B
45432,12476,45432,0,2,339116,1,$U?>C$B
45430,39981,22933,0,2,339101,41,$U?R$$BUBO
45429,45368,45368,0,4,339081,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO?>$$BLUBO}OYHO
45427,44922,44911,0,1,339057,23,RIXUVUYGRHJLRWWRE$BLUBOS^ZB>CD=?>$$BUB^ZB>C$=?>$$BB
45427,34444,45427,0,3,339057,23,RIXUVUYGRHJLRWWRE$BLUBOS^ZB>CD=?>$$BUB^ZB>C$=?>$$BB
45425,34444,34444,0,1,339055,62,ERWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYHOB
45424,45330,44022,0,1,339051,37,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBKOM%}OYHOEWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$OYHOO^B>C$=?>$$BBLVBKOM%}OYHOEWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLVBKOM%}OYHOEWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BALUBKOM%}OYHOX
45423,37843,37843,0,1,339046,54,HHLUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$U?>$$BLUBO%}OYHOB
45422,39981,39981,0,1,339046,62,$=?>$$BUBO^B>C$=?>$BLUBO%}}Y^OMB
45421,12476,11955,0,1,339044,40,$=?>$$BUBO$=?>$$B?>$$BLUBO%}Y^}B
45418,39981,43730,0,1,338991,53,$=?>$DBUBO$=K$$$N?>$$A
45416,34444,34444,0,1,338976,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOMG}OYHOB
45414,12476,12476,0,1,338961,64,$=?>$$BUO^B>C$=N?>$$BLUBO%}Y^OB
45413,42348,12476,0,1,338934,15,$=?>DBUB?O^B>CC
45413,12476,45413,0,4,338934,15,$=?>DBUB?O^B>CC
45412,34751,34751,0,1,338929,23,RIXUVUYGRHJLRWWRE$BLUBO^ZB>C$=?>$$BUBP^ZB>C$=?>$$B
45411,40721,40721,0,1,338908,54,HHLUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$CLUO%}OYHOB
45409,43660,43660,0,1,338895,62,EWLHHHRLUEUWJYJRIXVVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLVBKOM%}OYHO
45408,37843,37843,0,1,338873,54,HHLUEGUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$BLUBO%}OYHOB
45407,8625,18055,0,1,338872,66,$=?>$$BUBO^B>C$=N?>$BLVBO%}}Y^OB
45405,45159,45277,0,1,338859,155,$=?>$$BUBO^B>C$=?>$BLUBO%}}X^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}X^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}X^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}Y^OB
45404,40378,45379,0,1,338831,0,UUYGRHJLRWWRE$BLUBO^>C$=?>$$BLUBO}^BX>C$=?>$$BLUBO}OYHOBUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$BLUBO%}HOYHOB
45403,37843,44452,0,1,338830,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^B>C$=K>$$BLUB%}OYH
45402,37843,44452,0,1,338820,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^B>$$=?>$$BLUB%}OYH
45401,45346,12476,0,1,338819,127,$=?>$$CUCO^B>C$=N?>$$BLUBO%}Y^OB
45398,44958,40378,0,1,338768,56,UUYGRHJLRWWRE$BLUBO^>C$=?R$$BLUBO}^BX>C$=?>$$BLUBO}OYHOB
45397,18439,21947,0,1,338766,0,$=?>$$BUBO^B>C$=N?>$$BLUBO%}}YOB$=?>$$BUBO^B>C$=N>$$BLUBO%}}Y^OB
45397,8625,45397,0,1,338766,0,$=?>$$BUBO^B>C$=N?>$$BLUBO%}}YOB$=?>$$BUBO^B>C$=N>$$BLUBO%}}Y^OB
45396,39981,44965,0,1,338733,0,$=?>$$BUBO^B>C$=?>$
45394,43673,3747,0,1,338719,5,HHLUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?$$$ABLUBO%}OYHOB
45393,34444,34444,0,1,338711,62,EWLHHHRLUEUWJYJRIXUVUYGRHJOLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYHOB
45393,34444,45393,0,4,338711,62,EWLHHHRLUEUWJYJRIXUVUYGRHJOLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYHOB
45391,44438,34444,0,1,338702,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OSYHOB
